method_id,case_id,candidate_id,rank,score,reason_code
B3_GENERIC_REPLAY,P5C-L03,S01-C07,1,3.0,ARTIFACT_CLASS+PACKET_FAMILY
B3_GENERIC_REPLAY,P5C-L03,S01-C01,2,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L03,S01-C02,3,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L03,S01-C03,4,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L03,S01-C04,5,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L03,S01-C05,6,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L03,S01-C06,7,0.0,NO_VISIBLE_MATCH
B3_GENERIC_REPLAY,P5C-L03,S01-C08,8,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L03,S01-C07,1,10.0,OWNER+EVENT+SOURCE+FIELD+REACHABILITY
B6_TLA_PROVENANCE,P5C-L03,S01-C01,2,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L03,S01-C02,3,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L03,S01-C03,4,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L03,S01-C04,5,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L03,S01-C05,6,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L03,S01-C06,7,0.0,NO_VISIBLE_MATCH
B6_TLA_PROVENANCE,P5C-L03,S01-C08,8,0.0,NO_VISIBLE_MATCH
